date,closing_price,symbol,type
2020-03-02,2750.0,USD/MNT,forex
2020-02-28,2750.0,USD/MNT,forex
2020-02-27,2760.0,USD/MNT,forex
2020-02-26,2755.0,USD/MNT,forex
2020-02-25,2750.0,USD/MNT,forex
2020-02-24,2751.5,USD/MNT,forex
2020-02-21,2753.0,USD/MNT,forex
2020-02-20,2753.0,USD/MNT,forex
2020-02-19,2754.5,USD/MNT,forex
2020-02-18,2740.0,USD/MNT,forex
2020-02-17,2752.0,USD/MNT,forex
2020-02-14,2746.5,USD/MNT,forex
2020-02-13,2740.0,USD/MNT,forex
2020-02-12,2740.0,USD/MNT,forex
2020-02-11,2740.0,USD/MNT,forex
2020-02-10,2741.5,USD/MNT,forex
2020-02-07,2730.0,USD/MNT,forex
2020-02-06,2735.5,USD/MNT,forex
2020-02-05,2751.5,USD/MNT,forex
2020-02-04,2746.5,USD/MNT,forex
2020-02-03,2745.5,USD/MNT,forex
2020-01-31,2746.5,USD/MNT,forex
2020-01-30,2745.0,USD/MNT,forex
2020-01-29,2750.0,USD/MNT,forex
2020-01-28,2744.5,USD/MNT,forex
2020-01-27,2750.0,USD/MNT,forex
2020-01-24,2755.0,USD/MNT,forex
2020-01-23,2760.0,USD/MNT,forex
2020-01-22,2755.0,USD/MNT,forex
2020-01-21,2755.0,USD/MNT,forex
2020-01-20,2757.0,USD/MNT,forex
2020-01-17,2741.5,USD/MNT,forex
2020-01-16,2741.5,USD/MNT,forex
2020-01-15,2738.5,USD/MNT,forex
2020-01-14,2742.0,USD/MNT,forex
2020-01-13,2746.0,USD/MNT,forex
2020-01-10,2722.5,USD/MNT,forex
2020-01-09,2745.0,USD/MNT,forex
2020-01-08,2746.5,USD/MNT,forex
2020-01-07,2741.0,USD/MNT,forex
2020-01-06,2741.5,USD/MNT,forex
2020-01-03,2730.0,USD/MNT,forex
2020-01-02,2726.5,USD/MNT,forex
2020-01-01,2735.0,USD/MNT,forex
2019-12-31,2735.0,USD/MNT,forex
2019-12-30,2733.0,USD/MNT,forex
2019-12-27,2721.5,USD/MNT,forex
2019-12-26,2721.5,USD/MNT,forex
2019-12-25,2730.0,USD/MNT,forex
2019-12-24,2730.0,USD/MNT,forex
2019-12-23,2721.5,USD/MNT,forex
2019-12-20,2725.0,USD/MNT,forex
2019-12-19,2721.44995,USD/MNT,forex
2019-12-18,2724.5,USD/MNT,forex
2019-12-17,2724.5,USD/MNT,forex
2019-12-16,2724.5,USD/MNT,forex
2019-12-13,2725.0,USD/MNT,forex
2019-12-12,2715.0,USD/MNT,forex
2019-12-11,2719.5,USD/MNT,forex
2019-12-10,2719.5,USD/MNT,forex
2019-12-09,2715.0,USD/MNT,forex
2019-12-06,2720.0,USD/MNT,forex
2019-12-05,2706.0,USD/MNT,forex
2019-12-04,2706.0,USD/MNT,forex
2019-12-03,2698.0,USD/MNT,forex
2019-12-02,2698.0,USD/MNT,forex
2019-11-29,2690.0,USD/MNT,forex
2019-11-28,2697.5,USD/MNT,forex
2019-11-27,2697.5,USD/MNT,forex
2019-11-26,2696.5,USD/MNT,forex
2019-11-25,2697.5,USD/MNT,forex
2019-11-22,2695.0,USD/MNT,forex
2019-11-21,2700.0,USD/MNT,forex
2019-11-20,2690.0,USD/MNT,forex
2019-11-19,2691.5,USD/MNT,forex
2019-11-18,2695.5,USD/MNT,forex
2019-11-15,2696.5,USD/MNT,forex
2019-11-14,2690.0,USD/MNT,forex
2019-11-13,2693.5,USD/MNT,forex
2019-11-12,2690.0,USD/MNT,forex
2019-11-11,2690.0,USD/MNT,forex
2019-11-08,2695.0,USD/MNT,forex
2019-11-07,2690.0,USD/MNT,forex
2019-11-06,2695.0,USD/MNT,forex
2019-11-05,2690.0,USD/MNT,forex
2019-11-04,2695.0,USD/MNT,forex
2019-11-01,2685.0,USD/MNT,forex
2019-10-31,2685.0,USD/MNT,forex
2019-10-30,2660.0,USD/MNT,forex
2019-10-29,2665.0,USD/MNT,forex
2019-10-28,2671.5,USD/MNT,forex
2019-10-25,2675.0,USD/MNT,forex
2019-10-24,2665.0,USD/MNT,forex
2019-10-23,2672.5,USD/MNT,forex
2019-10-22,2658.5,USD/MNT,forex
2019-10-21,2658.5,USD/MNT,forex
2019-10-18,2660.0,USD/MNT,forex
2019-10-17,2660.5,USD/MNT,forex
2019-10-16,2680.0,USD/MNT,forex
2019-10-15,2660.5,USD/MNT,forex
2019-10-14,2670.0,USD/MNT,forex
2019-10-11,2670.0,USD/MNT,forex
2019-10-10,2660.5,USD/MNT,forex
2019-10-09,2660.5,USD/MNT,forex
2019-10-08,2657.5,USD/MNT,forex
2019-10-07,2657.5,USD/MNT,forex
2019-10-04,2656.5,USD/MNT,forex
2019-10-03,2660.5,USD/MNT,forex
2019-10-02,2670.0,USD/MNT,forex
2019-10-01,2675.0,USD/MNT,forex
2019-09-30,2675.0,USD/MNT,forex
2019-09-27,2660.0,USD/MNT,forex
2019-09-26,2670.0,USD/MNT,forex
2019-09-25,2670.0,USD/MNT,forex
2019-09-24,2676.0,USD/MNT,forex
2019-09-23,2683.5,USD/MNT,forex
2019-09-20,2678.0,USD/MNT,forex
2019-09-19,2677.5,USD/MNT,forex
2019-09-18,2684.0,USD/MNT,forex
2019-09-17,2683.0,USD/MNT,forex
2019-09-16,2691.5,USD/MNT,forex
2019-09-13,2690.5,USD/MNT,forex
2019-09-12,2683.5,USD/MNT,forex
2019-09-11,2683.5,USD/MNT,forex
2019-09-10,2683.5,USD/MNT,forex
2019-09-09,2660.0,USD/MNT,forex
2019-09-06,2660.0,USD/MNT,forex
2019-09-05,2661.0,USD/MNT,forex
2019-09-04,2684.0,USD/MNT,forex
2019-09-03,2691.0,USD/MNT,forex
2019-09-02,2689.0,USD/MNT,forex
2019-08-30,2689.0,USD/MNT,forex
2019-08-29,2689.0,USD/MNT,forex
2019-08-28,2689.0,USD/MNT,forex
2019-08-27,2689.0,USD/MNT,forex
2019-08-26,2689.0,USD/MNT,forex
2019-08-23,2689.0,USD/MNT,forex
2019-08-22,2689.0,USD/MNT,forex
2019-08-21,2689.0,USD/MNT,forex
2019-08-20,2692.5,USD/MNT,forex
2019-08-19,2692.5,USD/MNT,forex
2019-08-16,2692.5,USD/MNT,forex
2019-08-15,2690.5,USD/MNT,forex
2019-08-14,2690.5,USD/MNT,forex
2019-08-13,2689.0,USD/MNT,forex
2019-08-12,2686.0,USD/MNT,forex
2019-08-09,2686.5,USD/MNT,forex
